hssd_category,material_class,assignment,objects
toilet_brush,generic_hard,curated,24
washer/dryer,appliance,curated,24
photo,wood_thin_panel,curated,23
plush_toy,plush,curated,23
stairs,wood_furniture,curated,23
ventilation_hood,appliance,curated,23
cart,generic_hard,curated,22
doormat,carpet_thick,curated,22
object_/outside,generic_hard,curated,22
cooker,appliance,curated,21
toilet_paper,generic_hard,curated,21
umbrella,generic_hard,curated,21
grill,appliance,curated,20
jar,ceramic_hard,curated,20
radio,appliance,curated,20
casket,generic_hard,curated,19
oven,appliance,curated,19
fence,wood_panel,curated,18
kettle,ceramic_hard,curated,18
laundry_basket,generic_hard,curated,18
ceiling_fan,appliance,curated,17
coffee_maker,appliance,curated,17
showerhead,ceramic_hard,curated,17
soap_dispenser,generic_hard,curated,17
toaster,appliance,curated,17
ladder,wood_furniture,curated,16
phone,appliance,curated,16
sofa_set,upholstery,curated,16
storage_box,wood_furniture,curated,16
balcony_railing,wood_panel,curated,15
clothes_hanger,wood_furniture,curated,15
file_cabinet,wood_furniture,curated,15
flower,foliage,curated,15
fruit_bowl,ceramic_hard,curated,15
heater,appliance,curated,15
machine,appliance,curated,15
microwave,appliance,curated,15
teapot,ceramic_hard,curated,15
blinds,wood_panel,derived,14
case,generic_hard,curated,14
drinkware,ceramic_hard,derived,14
rolling_cart,wood_furniture,derived,14
scale,appliance,derived,14
speaker,appliance,curated,14
washbasin,ceramic_hard,curated,14
coffee_machine,appliance,derived,13
crib,wood_furniture,curated,13
kitchen_island,wood_furniture,derived,13
unknown_wall,ceramic_tile,derived,13
dinner_table,wood_furniture,derived,12
liquid_soap,generic_hard,derived,12
pillar,wood_panel,derived,12
printer,appliance,curated,12
radiator,appliance,curated,12
stove,appliance,curated,12
bush,foliage,curated,11
pitcher,ceramic_hard,curated,11
tablecloth,soft_furnishing,derived,11
wall,plasterboard,curated,11
weight,metal,derived,11
camera,appliance,curated,10
car,generic_hard,derived,10
chaise,upholstery,derived,10
toiletry,soft_furnishing,derived,10
guitar,generic_hard,curated,9
hammock,soft_furnishing,derived,9
jug,ceramic_hard,derived,9
kitchen_counter,wood_furniture,derived,9
window,wood_panel,derived,9
arcade_game,appliance,derived,8
art_frame,wood_thin_panel,derived,8
cosmetic,soft_furnishing,derived,8
dishwasher,appliance,curated,8
exercise_equipment,generic_hard,derived,8
flowerbed,mattress,derived,8
globe,generic_hard,curated,8
handle,generic_hard,curated,8
media_console,appliance,derived,8
stovetop,appliance,derived,8
wine_rack,wood_furniture,curated,8
beam,metal,derived,7
chimney,wood_panel,derived,7
clothes_rack,soft_furnishing,derived,7
computer,appliance,curated,7
display_table,wood_furniture,derived,7
dog_bed,mattress,derived,7
fencing,wood_panel,derived,7
floor,carpet_thick,curated,7
floor_mat,soft_furnishing,derived,7
gift,soft_furnishing,derived,7
pan,generic_hard,curated,7
piano,generic_hard,curated,7
range_hood,appliance,curated,7
record_player,appliance,derived,7
tissue_box,soft_furnishing,derived,7
tool,generic_hard,curated,7
tv_stand,wood_furniture,curated,7
air_conditioner,appliance,curated,6
animal,plush,derived,6
barbecue,appliance,derived,6
bath_sink,ceramic_hard,derived,6
bed_small,mattress,derived,6
display_cabinet,wood_furniture,derived,6
dressing_table,wood_furniture,derived,6
dumbbell,metal,derived,6
electric_outlet,appliance,derived,6
fan,appliance,curated,6
food,soft_furnishing,derived,6
knife_holder,wood_furniture,derived,6
lamp_stand,metal,derived,6
led_tv,appliance,derived,6
locker,metal,derived,6
pool,ceramic_hard,derived,6
set_of_armchairs,upholstery,derived,6
tent,soft_furnishing,derived,6
wall_board,wood_panel,derived,6
workstation,wood_furniture,derived,6
balcony,wood_panel,derived,5
bar,wood_furniture,derived,5
broom,generic_hard,derived,5
can,generic_hard,derived,5
christmas_tree,plush,derived,5
curtain_rod,soft_furnishing,derived,5
dog,plush,derived,5
firewood_holder,wood_panel,derived,5
hat,soft_furnishing,curated,5
monitor,appliance,curated,5
platform,wood_furniture,derived,5
roof,wood_panel,derived,5
shampoo,ceramic_hard,derived,5
storage_cabinet,wood_furniture,derived,5
tablet,appliance,curated,5
tile,ceramic_hard,derived,5
toilet_cleaner,ceramic_hard,derived,5
utensil,generic_hard,curated,5
wall_panel,wood_panel,derived,5
basin,ceramic_hard,derived,4
bicycle,generic_hard,curated,4
bucket,generic_hard,curated,4
computer_equipment,appliance,derived,4
cooker_unit,appliance,derived,4
fireplace_wall,ceramic_tile,derived,4
flower_stand,foliage,derived,4
garage_door,wood_panel,derived,4
kitchen_wall,ceramic_tile,derived,4
knob,generic_hard,curated,4
newspaper,paper,curated,4
oil_lamp,metal,derived,4
perfume,ceramic_hard,derived,4
plant/art,foliage,derived,4
post,wood_panel,derived,4
railing,metal,derived,4
sculpture,generic_hard,curated,4
shoes,soft_furnishing,derived,4
shower_soap_shelf,ceramic_hard,derived,4
sink/basin,ceramic_hard,derived,4
soap,generic_hard,derived,4
swimming_pool,ceramic_hard,derived,4
switch,generic_hard,curated,4
treadmill,appliance,derived,4
unknown_/outside,generic_hard,derived,4
vacuum_cleaner,appliance,derived,4
vanity,wood_furniture,curated,4
wall_/outside,ceramic_tile,derived,4
wall_cubby,ceramic_tile,derived,4
wall_desk,wood_furniture,derived,4
watering_can,generic_hard,derived,4
barrel,wood_furniture,derived,3
bathrobe,soft_furnishing,derived,3
bathroom_accessory,ceramic_hard,derived,3
binder,generic_hard,derived,3
brush,generic_hard,derived,3
calendar,paper,curated,3
credenza,wood_furniture,derived,3
dartboard,wood_panel,derived,3
fire_pit,ceramic_tile,derived,3
floor_/outside,ceramic_tile,derived,3
gate,wood_panel,curated,3
jewelry_box,generic_hard,derived,3
light,metal,curated,3
light_switch,metal,derived,3
mixer,appliance,derived,3
mortar,ceramic_hard,derived,3
motorcycle,metal,derived,3
painting_frame,wood_thin_panel,derived,3
safe,metal,derived,3
shelf/cabinet,wood_furniture,derived,3
shower_door,ceramic_hard,derived,3
shower_hose,ceramic_hard,derived,3
sliding_door,wood_panel,derived,3
soapbox,generic_hard,derived,3
stair_step,wood_panel,derived,3
staircase,generic_hard,derived,3
throw_blanket,soft_furnishing,derived,3
toilet_brush_holder,ceramic_hard,derived,3
toilet_sink,ceramic_hard,derived,3
towel_ring,soft_furnishing,derived,3
vent,generic_hard,curated,3
wash_cabinet,wood_furniture,derived,3
washing_machine_and_dryer,appliance,derived,3
wood,wood_panel,derived,3
aquarium,mirror_glass,derived,2
art_stand,wood_furniture,derived,2
awning,soft_furnishing,derived,2
baby_changing_station,wood_furniture,derived,2
bar_cabinet,wood_furniture,derived,2
bathroom_shelf,ceramic_hard,derived,2
bed_table,mattress,derived,2
bell,metal,derived,2
bidet,ceramic_hard,curated,2
boiler,appliance,curated,2
box_of_fruit,generic_hard,derived,2
breadbin,generic_hard,derived,2
button,generic_hard,derived,2
carpet_roll,carpet_thick,derived,2
cloth,soft_furnishing,curated,2
clothing,soft_furnishing,derived,2
cover,soft_furnishing,derived,2
decor,generic_hard,derived,2
decorative_bowl,ceramic_hard,derived,2
decorative_plate,ceramic_hard,derived,2
decorative_quilt,soft_furnishing,derived,2
desk_clutter,wood_furniture,derived,2
dinnerware,ceramic_hard,derived,2
drum,generic_hard,derived,2
fire_dish,ceramic_hard,derived,2
fireplace_utensil,ceramic_tile,derived,2
food_tray,soft_furnishing,derived,2
freezer,appliance,curated,2
furnace,ceramic_hard,derived,2
hanging_clothes,soft_furnishing,derived,2
hedge,foliage,derived,2
ironing_board,wood_panel,derived,2
jacuzzi,ceramic_hard,derived,2
kitchen_shelf,wood_furniture,derived,2
knife,generic_hard,curated,2
lamp_table,metal,derived,2
magazine,paper,curated,2
newspaper_basket,paper,derived,2
object,generic_hard,derived,2
oven_vent,appliance,derived,2
paper_towel_dispenser,soft_furnishing,derived,2
pipe,generic_hard,curated,2
platter,ceramic_hard,derived,2
pool_table,ceramic_hard,derived,2
rail,metal,derived,2
rock,ceramic_tile,derived,2
screen,wood_furniture,curated,2
semi_chair,wood_furniture,derived,2
sewing_machine,appliance,derived,2
shack,wood_panel,derived,2
shower_glass,ceramic_hard,derived,2
shower_wall,ceramic_hard,derived,2
sitting_area,upholstery,derived,2
soap_bottle,generic_hard,derived,2
soap_dish,ceramic_hard,derived,2
soap_dispenser_shelf_in_shower,ceramic_hard,derived,2
socket,generic_hard,curated,2
spice_rack,wood_furniture,derived,2
stack_of_papers,paper,derived,2
step,wood_panel,derived,2
storage,generic_hard,curated,2
stuffed_animal,plush,derived,2
thermostat,generic_hard,derived,2
toilet_stall,ceramic_hard,derived,2
towel_basket,soft_furnishing,derived,2
window_shutter,wood_panel,derived,2
wine_cabinet,wood_furniture,derived,2
workout_bike,appliance,derived,2
wreath,foliage,derived,2
air_duct,metal,derived,1
bedframe,mattress,derived,1
bottles_of_wine,generic_hard,derived,1
box_of_tissue,soft_furnishing,derived,1
bridge,wood_panel,derived,1
bust,ceramic_hard,derived,1
cake_stand,wood_furniture,derived,1
cat,plush,derived,1
chair_stand,wood_furniture,derived,1
clothes_hanger_rod,soft_furnishing,derived,1
computer_desk,appliance,derived,1
curtain_rail,soft_furnishing,derived,1
dj_table,wood_furniture,derived,1
fire_extinguisher,generic_hard,curated,1
fountain,ceramic_hard,derived,1
frame,wood_thin_panel,curated,1
fruit,soft_furnishing,derived,1
garden_bower,foliage,derived,1
hand_wash,ceramic_hard,derived,1
hose,generic_hard,derived,1
lattice,wood_panel,derived,1
mailbox,generic_hard,derived,1
musical_instrument,generic_hard,derived,1
office_utensil,generic_hard,derived,1
panel,wood_furniture,curated,1
panel_screen,wood_panel,derived,1
partition,wood_furniture,curated,1
photo_mount,wood_thin_panel,derived,1
ping_pong_table,wood_furniture,derived,1
playground,wood_furniture,derived,1
playground_element,wood_furniture,derived,1
projector,appliance,curated,1
projector_screen,appliance,derived,1
rocking_horse,wood_furniture,derived,1
rod,metal,derived,1
sauna_heater,appliance,derived,1
security_camera,appliance,derived,1
shirt,soft_furnishing,curated,1
shovel,metal,derived,1
shower_mat,soft_furnishing,derived,1
skateboard,wood_panel,derived,1
skirting_board,wood_panel,derived,1
slide,wood_panel,derived,1
smoke_alarm,generic_hard,derived,1
stone,ceramic_tile,derived,1
storage_space,generic_hard,derived,1
sunbed,mattress,derived,1
telescope,metal,derived,1
tissue,soft_furnishing,derived,1
toilet_bin,ceramic_hard,derived,1
towel_holder,soft_furnishing,derived,1
tripod,metal,derived,1
urinal,ceramic_hard,curated,1
water_dispenser,generic_hard,derived,1
wheelbarrow,metal,derived,1
window_frame,wood_panel,derived,1
wooden_house,wood_panel,derived,1
yard,ceramic_tile,derived,1
ceiling,plasterboard,curated,0
sofa,upholstery,curated,0
